source,manufacturer,model,segment,price,reference_date,captured_at
assobens_precos_comparativo,VOLVO,VOLVO VM 290 6X2,Nacional|grupo MB 2429,539187.09,2026-09-22,2026-09-23T01:31:05-03:00
assobens_precos_comparativo,M.BENZ,MB 2429,Nacional|grupo MB 2429,504003.37,2026-09-22,2026-09-23T08:06:31-03:00
assobens_precos_comparativo,IVECO,IVECO 24-280,Nacional|grupo MB 2429,514541.08,2026-09-22,2026-09-23T01:31:05-03:00
assobens_precos_comparativo,VW,VW 26.260,Nacional|grupo MB 2429,512151.16,2026-09-22,2026-09-23T01:31:05-03:00
assobens_precos_comparativo,M.BENZ,MB 2429,MT|grupo MB 2429,548994.0,2026-09-22,2026-09-23T08:06:31-03:00
assobens_precos_comparativo,IVECO,IVECO 24-280,MT|grupo MB 2429,555137.0,2026-09-22,2026-09-23T01:31:05-03:00
assobens_precos_comparativo,VOLVO,VOLVO VM 290 6X2,MT|grupo MB 2429,520881.0,2026-09-22,2026-09-23T01:31:05-03:00
assobens_precos_comparativo,VW,VW 26.260,MT|grupo MB 2429,522582.0,2026-09-22,2026-09-23T01:31:05-03:00
assobens_precos_comparativo,VW,VW 14.210,Nacional|grupo MB 1317,461334.05,2026-09-22,2026-09-23T01:31:05-03:00
assobens_precos_comparativo,M.BENZ,MB 1417,Nacional|grupo MB 1317,447114.99,2026-09-22,2026-09-23T01:31:05-03:00
assobens_precos_comparativo,M.BENZ,MB 1419,Nacional|grupo MB 1317,427459.83,2026-09-22,2026-09-23T01:31:05-03:00
assobens_precos_comparativo,VW,VW 14.180,Nacional|grupo MB 1317,404269.29,2026-09-22,2026-09-23T01:31:05-03:00
assobens_precos_comparativo,IVECO,IVECO 15-210,Nacional|grupo MB 1317,403947.5,2026-09-22,2026-09-23T01:31:05-03:00
assobens_precos_comparativo,VW,VW 13.180,Nacional|grupo MB 1317,398121.1,2026-09-22,2026-09-23T01:31:05-03:00
assobens_precos_comparativo,M.BENZ,MB 1317,Nacional|grupo MB 1317,391385.95,2026-09-22,2026-09-23T01:31:05-03:00
assobens_precos_comparativo,IVECO,IVECO 15-210,MT|grupo MB 1317,399167.0,2026-09-22,2026-09-23T01:31:05-03:00
assobens_precos_comparativo,M.BENZ,MB 1417,MT|grupo MB 1317,464333.0,2026-09-22,2026-09-23T01:31:05-03:00
assobens_precos_comparativo,VW,VW 14.180,MT|grupo MB 1317,378547.0,2026-09-22,2026-09-23T01:31:05-03:00
